2025-10-27 14:55:06.998 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:55:31.852 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:56:27.272 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:56:52.198 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:57:47.415 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:58:12.452 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:59:07.865 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:59:32.727 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:00:28.014 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:00:53.016 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:01:48.252 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:02:13.263 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:03:08.361 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:03:33.570 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:04:28.772 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:04:53.682 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 15:05:48.858 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
